"","V1"
"inaug_FranklinDRoosevelt_1_47",8
"inaug_FranklinDRoosevelt_1_48",8
"inaug_FranklinDRoosevelt_1_49",8
"inaug_FranklinDRoosevelt_1_50",8
"inaug_FranklinDRoosevelt_1_51",8
"inaug_FranklinDRoosevelt_1_52",8
"inaug_FranklinDRoosevelt_1_53",8
"inaug_FranklinDRoosevelt_1_54",8
"inaug_FranklinDRoosevelt_1_55",8
"inaug_FranklinDRoosevelt_1_56",8
"inaug_FranklinDRoosevelt_1_57",11
"inaug_FranklinDRoosevelt_1_58",2
"inaug_FranklinDRoosevelt_1_59",12
"inaug_FranklinDRoosevelt_1_60",12
"inaug_FranklinDRoosevelt_1_61",12
"inaug_FranklinDRoosevelt_1_62",2
"inaug_FranklinDRoosevelt_1_63",12
"inaug_FranklinDRoosevelt_1_64",7
